 Industrial Law Journal,Publisher
(NBER) National Bureau of Economic Research,Publisher
A.B.A. Journal of Labor & Employment Law,Publisher
Academy of Management Global Proceedings,Publisher
Academy of Management Proceedings,Publisher
Accenture,Publisher
ACM Conference on Electronic Commerce,Publisher
ACM Magazine for Students - Comp-YOU-Ter,Publisher
ACM Transactions on Social Computing,Publisher
Administrative Science Quarterly,Publisher
American Economic Review,Publisher
Americas Conference on Information Systems,Publisher
Annual ACM Symposium on User Interface Software & Technology,Research institute
Annual Review of Economics,Publisher
Arxiv,Publisher
"BEIS (Department for Business, Energy and Industrial Strategy)",Government
Berkeley Journal of Employment and Labor Law,Publisher
"Berkeley, University of California",Research institute
BI Norwegian Business School,Research institute
Big Data & Society,Publisher
BMAS (Bundesministerium für Arbeit und Soziales),Government
BMWI (Bundesministerium für Wirtschaft und Energie),Government
"Board of Governors of the Federal Reserve System, Washington",Government
British Journal of Industrial Relations,Publisher
Bund-Verlag,Research institute
Burson-Marsteller; Aspen Institute; TIME Inc. ,Research institute
Business and Information Systems Engineering,Publisher
Business Europe,Employer organisation
Business Europe; UEAPME; CEEP ,Employer organisation
Business Today,Publisher
California Management Review,Publisher
Cambridge University Press,Publisher
Cardozo Arts and Entertainment Law Journal,Publisher
Center for Global Enterprise,Research institute
Central Arbitration Committee,Judicial
CEPS (Centre European Policy Studies),Research institute
CEPS (Centre European Policy Studies); IZA (Institute of Labor Economics); WEC-Europe (World Employment Confederation-Europe); UNI Europa,Research institute
CEPS (Centre for European Policy Studies),Research institute
CEPS (Centre of European Policy Studies),Research institute
CEPS (Centre of European Policy Studies); EESC (European Economic and Social Committee),Research institute
CHI Conference on Human Factors in Computing Systems,Research institute
CIPD (Chartered Institute of Personnel and Development),Research institute
Cities,Publisher
Cologne Institute for Economic Research,Research institute
Columbia Law Review,Publisher
"Communication, Culture and Critique",Publisher
Communications of the ACM,Publisher
Communications of the AMC,Publisher
Comparative Labor Law & Policy Journal,Publisher
Comparative Labor Law and Policy Journal,Publisher
Computational Linguistics,Publisher
Computers in Human Behavior,Publisher
Computers in Human Behavior ,Publisher
Conference on Computer Supported Cooperative Work,Publisher
Conference on Computer Supported Cooperative Work and Social Computing,Publisher
Conference on Human Factors in Computing Systems,Publisher
Congressional Research Service,Government
Court of Justice of the European Union,Judicial
CrowdConf,Publisher
Ctheory,Publisher
Decision Support Systems,Publisher
Deloitte,Research institute
Der AK Wien,Employee organisation
DG IPOL,Government
Digital Frontier Press,Publisher
Digital Journalism,Publisher
E-journal of International and Comparative Labour Studies,Publisher
Economic and Labour Relations Review,Publisher
Education and Employment References Committee,Government
Edward Elgar Publishing,Publisher
EESC (European Economic and Social Committee),Government
EFFAT (European Federation of Food Agriculture and Tourism Trade Unions),Employee organisation
Employment Tribunal,Judicial
Employment Tribunals,Judicial
Environment and Planning A: Economy and Space,Publisher
Erhvervsministeriet,Government
ESIP (European Social Insurance Platform),Research institute
ESPN (European Social Policy Network),Government
Etsy,Other
ETUC (European Trade Union Confederation),Employee organisation
ETUI (European Trade Union Institute),Employee organisation
ETUI: HesaMag,Employee organisation
EU-OSHA,Research institute
Eurofound,Research institute
Eurofound; ILO (International Labour Organisation),Research institute
European Commission,Government
"European Commission, DG Employment Social Affairs and Inclusion",Research institute
European Conference on Computer-Supported Cooperative Work,Publisher
European Conference on Information Systems,Publisher
European Journal of Industrial Relations,Publisher
European Journal of Social Theory,Publisher
European Labour Law Journal,Publisher
European Management Journal,Publisher
European Parliament,Government
"European Platform Undeclared Work, European Commission",Government
European Space Agency,Government
Fafo (Institute for Labor and Welfare Research),Research institute
FairCrowdWork,Other
Fast Company,Publisher
FEPS (Foundation for European Progressive Studies),Research institute
FEPS (Foundation for European Progressive Studies); UniGlobal; University of Hertfordshire,Research institute
Financial Times,Publisher
Forced Migration Review,Publisher
Foreign Affairs,Publisher
Friedrich Ebert Stiftung,Research institute
Geoforum,Publisher
Gigwalk,Other
"Global Development Institute, SEED, University of Manchester",Research institute
Global Labour Column,Publisher
GloMHI (Global Migration and Health Initiative),Other
Harper’s Magazine,Publisher
Hart Publishing,Publisher
Harvard Business Review,Publisher
Harvard Business School,Research institute
Het Financieele Dagblad,Publisher
"IAB (Forschungsinstitut der Bundesagentur für Arbeit, Institute for Employment Research)",Research institute
IDRC (International Development Research Centre),Research institute
IEEE Transactions on Parallel and Distributed Systems,Publisher
Il manifesto,Publisher
ILO (International Labour Organisation),Research institute
"INAPP (L’Istituto Nazionale per l’Analisi delle Politiche Pubbliche, National Institute for the Analysis of Public Policies)",Government
Industrial Law Journal,Publisher
"Industrielle Beziehungen: Zeitschrift für Arbeit, Organisation und Management",Publisher
Information Economics and Policy,Publisher
Information Systems Management,Publisher
"Information, Communication and Society",Publisher
ING Economisch Bureau,Other
Inspection Générale des Affaires Sociales,Government
Intereconomics,Publisher
International Conference on Information Systems,Publisher
International Conference on System Sciences,Publisher
International Conference on Wirtschaftsinformatik,Publisher
International Conference on Wirtschaftsinformatik (WI),Publisher
International Development Research Centre,Research institute
International Journal of Business and Social Research,Publisher
International Journal of Communication,Publisher
International Journal of Comparative Labour Law And Industrial Relations,Publisher
International Journal of Logistics Research and Applications,Publisher
International Journal of Media and Cultural Politics,Publisher
International Workshop on Internet and Network Economics,Publisher
Internet Measurement Conference,Publisher
Internet Policy Review,Publisher
Internet Policy Review Journal on Internet Regulation,Publisher
"Internet, Politics and Policy",Publisher
IRL Review,Publisher
IRS (Istituto pe la Ricerca Sociale),Research institute
ISPIM Innovation Symposium,Publisher
Issues in Science and Technology,Publisher
Italian Law Journal,Publisher
IUSLabor,Publisher
IZA (Institute of Labor Economics),Research institute
Jacobin,Publisher
Journal for Labour Market Research,Publisher
Journal of Business Research,Publisher
Journal of Computer Science and Technology,Publisher
Journal of Consumer Research,Publisher
Journal of Economic Behavior and Organization,Publisher
Journal of Information Technology,Publisher
Journal of International Management,Publisher
Journal of marketing,Publisher
Journal of the National Tertiary Education Union,Publisher
JP Morgen Chase Institute,Other
JRC (Joint Research Centre),Research institute
Judgment and Decision Making,Publisher
Kluwer Law International,Publisher
Labour & Law Issues,Publisher
Labour and Industry: A Journal of the Social and Economic Relations of Work,Publisher
London School of Economics and Political Science,Research institute
Management and Economics Research Journal,Publisher
Management Information Systems,Publisher
Management Science (R&R),Publisher
McKinsey,Research institute
Me Judice,Publisher
MIT CEEPR (Center for Energy and Environmental Policy Research),Research institute
MIT Sloan Management Review,Publisher
MKWI (Multikonferenz Wirtschaftsinformatik),Publisher
Monthly Review Press,Publisher
National Employment Law Project,Research institute
NET Institute,Publisher
New America,Research institute
New Internationalist,Publisher
New Labor Forum,Publisher
New Media & Society,Publisher
New Media and Society,Publisher
"New Technology, Work and Employment",Publisher
New York University,Research institute
No Politics Without Inquiry!,Publisher
Nordic Council of Ministers,Government
ODI (Overseas Development Institute),Other
OECD,Research institute
Open Democracy,Publisher
Organization & Environment,Publisher
OTS (Office of Tax Simplification),Government
"Oxford Internet Institute, Oxford",Research institute
Oxford Review of Economic Policy,Publisher
Oxford University Press: Oxford,Research institute
"Oxford University, Oxford",Publisher
Pagina99,Publisher
Palgrave Macmillan,Publisher
"Palgrave, Basingstoke",Publisher
PARGC (Project for Advanced Research in Global Communication),Publisher
Personal Page online,Publisher
Pew Research Center,Research institute
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",Publisher
Policy and Internet,Publisher
Policy Network Online,Publisher
Polity Press,Publisher
PROKLA: Zeitschrift für kritische Sozialwissenschaften,Publisher
Psychosociological Issues in Human Resource Management,Publisher
Public Books,Publisher
PWC,Research institute
Rathenau Instituut,Research institute
Recode.net,Publisher
Reconnections - London transport and beyond,Publisher
Review of Keynesian Economics ,Publisher
Rosa Luxemburg Stiftung,Research institute
Routledge,Publisher
"Royal College of Art, London",Research institute
RSA (Action and Reseach Centre),Research institute
Sage Business Publisher online,Publisher
San Francisco Magazine,Publisher
SEO (SEO Economisch Onderzoek),Research institute
SER (Sociaal Economische Raad),Government
SEUK (Sharing Economy UK),Employer organisation
SIG GlobDev Workshop,Publisher
Social Europe,Publisher
Social Inequality and the Spectre of Social Justice,Publisher
Springer,Publisher
SSRN Electronic Journal,Publisher
St. Martin's Press,Publisher
St. Martin’s Press,Publisher
"STOA (Science and Technology Options Assessment), European Parliament",Government
Strategic Management Journal,Publisher
Sustainability,Publisher
Technological forecasting and social change,Publisher
The ANNALS of the American Academy of Political and Social Science,Publisher
The Anthropologist,Publisher
The Aspen Institute,Research institute
The Guardian,Publisher
The Hamilton Project,Publisher
The New York Times,Publisher
The Sociological Review,Publisher
The Stand,Publisher
The University of Chicago Law Review Dialogue,Publisher
The Washington Post,Publisher
Transfer: European Review of Labour and Research,Publisher
Transnational social platform STRIKE,Publisher
UAPME (Association of European Crafts and SMEs),Employer organisation
Uber,Other
Uitgeverij Business Contact,Publisher
Unionen,Employee organisation
University of Bergamo,Research institute
University of Copenhagen,Research institute
University of Hertfordshire,Research institute
University of Oslo,Research institute
University of Salzburg,Research institute
University of San Francisco Law Review,Publisher
University of Utrecht,Research institute
University of Warsaw,Research institute
Urban Studies,Publisher
Weaving Relations of Trust in Crowd Work: Transparency and Reputation Across Platforms,Publisher
Willy Brandt School of Public Policy; ECIPE (European Centre for International Political Economy) ,Research institute
Wired,Publisher
Wired Business online,Publisher
Wisconsin Law Review,Publisher
"Work Organisation, Labour and Globalisation",Publisher
"Work, Employment and Society",Publisher
World Bank,Research institute
World Employment Confederation,Employer organisation
Zhural Vysshey shkoly ekonomiki (Law journal of the higher school of economics),Publisher
